RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2685.6850472742267,2702.041266238068,2721.8373846629756,2749.141181220079,2771.3794504204266,2795.3858536762505,2809.1389331535106,2821.4620461922127,2827.2917901929713,2824.3541769869335,2810.8578149549603,2793.300286700015,2785.348588905328,2787.295256608002,2797.5207934537193,2812.912421944234,2830.551745442574,2849.7169303460987,2863.9240087354465,2870.1750145647234,2868.726187823385,2858.3828774029967,2843.2521427854504,2818.6026002015237,2813.0060586197324,2811.8593142542163,2828.966882676181,2842.1230676409427,2866.296893864241,2887.1282379510303,2900.0408057879763,2903.723626268732,2895.663202602422,2875.3040834740127,2849.2538771412037,2829.25641036205,2826.2177277411292,2835.156751634226,2853.4493573817613,2877.3430216245833,2901.6180531728655,2923.860809657349,2939.6325290580035,2950.426347191094,2951.4940324916233,2939.1726356936097,2920.0682434269324,2903.736506915269,2899.0141867739376,2909.3497996186247,2927.381967840445,2952.3489076155474,2979.3118121414004,3007.2844042353686,3027.777054625735,3040.6280672902285,3041.9118720242673,3036.7621308126118,3017.4862111140587,3005.296190990027,3002.5001969572786,3023.2258371886246,3037.592780406212,3026.180552745664,2994.9818741900053,2953.370699636139,2912.256507572353,,,2699.0031184046984,2650.3208518803362,2623.8247118912864,2613.1419507373234,2626.5875562586652,2656.050149523406,2700.767283077436,2761.196774525489,2837.266489840712,2923.4438595134593,3003.4199291221503,3069.0890931066792,3104.9715748564145,3132.6120637728786,3150.181477352803,3180.7634931457974,3220.8474297460007,3268.966421804621,3322.207447895649,3385.620913583415,3455.411093392464,3512.426966025449,3545.559007438377,3547.9690644916063,3526.9234447986096,3480.993612871674,3446.710149902273,3437.46502088189,3451.8821010984266,3476.266420943505,3512.2101726740016,3558.7150634874747,3605.8705353891646,3638.5114160860603,3648.640681364164,3643.1978045953906
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1917.1443390176344,1931.9141141741525,1950.270997905113,1963.492780927505,1987.4561724878947,1998.024062886589,2014.350559621591,2023.305276552031,2040.2943037185134,2049.7095091165083,2054.7322593535227,2059.8822296812127,2073.8175466005114,2095.2592902376596,2111.571498464419,2120.0339218671,2132.1835522684687,2150.769478531115,2162.505350967687,2164.2189180407536,2160.783886695151,2162.963434935943,2161.575375487065,2162.080356109612,2184.710562219724,2206.4406178787085,2240.0338325478424,2247.4444072646224,2263.0850580726205,2270.3887917843654,2283.168726032917,2293.333326431585,2295.4676641970073,2300.9983472764643,2304.1647280771804,2312.330585131133,2319.5916412238594,2334.8964707716777,2344.0832632823817,2356.205823197668,2364.311576198954,2380.799588527687,2395.0552694722346,2409.383720108935,2417.3536401831584,2419.3969261362877,2419.65899957274,2423.0041724449334,2429.6754510053997,2432.9715707873406,2445.148597381726,2455.8474679041174,2469.7320518975444,2481.9357105198033,2492.9923206700564,2501.2766874498666,2503.4744985310786,2502.623264334372,2500.9908448297765,2502.937326689729,2507.269734599556,2513.377807879337,2509.7122270235536,2496.647378848835,2480.1258986793987,2468.41780321666,2462.3987439748685,2455.2918498064582,2444.717589381313,2436.496100313582,2431.8068452192915,2427.696072509064,2424.5841693822717,2422.790516970122,2431.2760785885694,2442.7296404505582,2464.5142960565427,2496.2904633618946,2540.8356475740457,2591.5399593251623,2630.3139235539,2657.4882067593585,2674.390996594303,2694.3559149717753,2715.70603955926,2737.0602291676037,2757.6256077689022,2780.8791132437236,2810.435389549191,2834.253528246957,2859.369108238635,2876.728447700193,2890.588798714782,2885.991568934702,2878.7555462013584,2873.6827890100085,2869.509291159784,2874.2186952870507,2879.7920803265188,2893.798795693735,2895.560728716843,2899.251665945157,2902.7061125311507,2909.3688823922,2911.7917480132496
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1224.0845683719467,1228.626299089189,1234.7785280471858,1246.2827606251544,1256.8114933633963,1267.3018226363263,1267.9503337447593,1268.0131626652637,1261.2398260696293,1257.7172388925717,1255.6670130151304,1256.2221230094701,1256.8592175358015,1256.1105727348133,1261.757316253237,1267.658213007533,1272.8151849672204,1272.9342850126795,1270.620287508672,1265.7139412430813,1258.0274319633215,1246.6683190637166,1235.0568579612027,1227.775340268351,1237.1515244872849,1252.1113119345775,1267.5203970894047,1270.757753215971,1278.5107080650685,1278.4835954016512,1278.4094810779893,1272.1510619689282,1279.6890095978752,1289.5529190706159,1303.544376738139,1314.7177757480997,1316.5447848987817,1322.38097398915,1318.9864679528148,1327.6255915987626,1328.5599469290432,1334.9742823952529,1333.8616962160283,1331.8097868563295,1327.5983911214107,1326.478338900105,1329.5157309385015,1328.9700464816995,1329.9149411455815,1326.5383452212832,1332.1171429960025,1337.1634452522908,1346.704159485746,1354.0512641924088,1357.5128960552154,1357.6880916655946,1353.5296078907002,1352.6173440190307,1351.051830740913,1354.9245351123277,1357.2278037062697,1364.5511132237857,1370.0961600119883,1365.6764138235376,1356.8089331341525,1346.4764171641139,1348.6406578451592,1350.4190653040466,1350.2649801343246,1350.7320979972915,1353.465935045322,1351.5656635313624,1349.8829064456595,1343.776561937851,1350.098615675562,1361.7381358327036,1384.5433833428265,1412.2918659023148,1438.8412058462427,1461.5834283124743,1475.0638222333343,1481.3497458724141,1484.8739546490349,1486.9878626658856,1495.7151578988341,1505.283784092049,1516.0163105879226,1524.8948450422615,1535.5746253093355,1548.5035291318927,1558.4999709506758,1563.5365004744417,1560.9890926488076,1554.99563930024,1553.0932145531626,1553.0180578027168,1562.1541040198824,1570.4257189057225,1578.7546858992162,1582.360924970334,1589.519683354097,1598.5789123818347,1605.4715352050132,1604.053794274761,1601.3060665159037
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1513.3365352833546,1523.389099552465,1535.1640699996904,1546.8414816823167,1560.8502835098184,1572.3088043971889,1578.6819238843009,1581.488634410521,1574.6486681768843,1565.1026208318522,1555.1734908304918,1554.0369484597772,1565.6302598895547,1577.9303392239897,1592.4352785476708,1600.493455050842,1611.3300733137924,1623.8330048215323,1632.9883529114359,1637.2131288269472,1627.7380875104498,1609.4059076191784,1586.3863780917147,1573.7450099694533,1584.8519871342428,1607.731509207676,1632.5987205361293,1645.1410020254075,1656.9768736350622,1663.2011194335694,1665.3405695603353,1658.6795893397393,1648.5811680149147,1634.714852355003,1624.3220990024495,1623.1672550134265,1631.9161477943287,1646.4968319742468,1659.1717412329149,1672.094905091553,1683.8279971954612,1694.52379855576,1698.5254491796165,1693.8282068486149,1679.0655045684111,1663.9823370656632,1654.5465089898585,1656.022838148628,1666.8417826270672,1680.5079347139879,1698.7666439710295,1713.9876013291412,1726.7476609852977,1735.336910615635,1739.6179413626662,1742.3050996384131,1735.4256291111124,1724.8024758905638,1712.996833983419,1707.6822857011007,1718.230781932152,1732.6885936186993,1748.5955722703254,1748.4870090204533,1745.6999211360855,1740.28665957141,1736.6011996432796,1723.8195735186036,1699.9194508459793,1667.2300732739918,1639.8263339731993,1625.8932288740925,1622.9521419708176,1633.8100403556782,1657.3925150944208,1692.5778538791808,1727.0600894675279,1754.4024442696207,1772.2573562745179,1783.2299968327109,1784.690795632078,1783.3237703997725,1779.3412496001047,1785.876840687452,1802.5395089305669,1824.8328688931126,1850.5052328712516,1874.8091646017583,1901.2049575036328,1921.4404127769542,1938.2746570333288,1942.8850766195874,1941.703732209822,1937.0795570301727,1931.1808301634394,1931.6499618253943,1941.2104609896478,1956.1159168745999,1973.2470078128545,1990.2693597919736,2016.6602151926636,2039.9630537842525,2052.0741717420015,2055.278229063968,2044.828382346119
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1013.002827971835,1017.5400206746145,1024.5582767764138,1033.0305465583888,1041.9236853443076,1049.6997782660378,1051.0514054412301,1049.5760848229986,1049.8263631209797,1054.5483929970223,1057.02374517582,1057.2534514848926,1057.5814280275792,1060.8695545729704,1068.166881526526,1075.8760584667373,1083.1554931439393,1085.9356538938898,1088.749819975663,1090.5402397780247,1090.9055734216877,1086.2988232262692,1084.2982517700234,1084.7938296847044,1093.985769561063,1100.79790096281,1108.1799186366802,1112.099856482334,1117.5276146290444,1126.3556658390019,1130.414164871527,1130.420877553127,1125.94937206276,1122.0915357848228,1118.8586945669383,1119.1336734466636,1119.7546912968276,1123.6007499570776,1129.44362783007,1135.853807694831,1142.8127502192635,1148.7569748319188,1156.8810540552495,1163.2012147934709,1163.1998418023277,1162.5861549535377,1160.3739320209859,1158.9588203088622,1159.756855048477,1163.7596675324362,1171.5942424405196,1178.0841627046254,1183.9346454052034,1189.4939473719926,1196.4918070748026,1205.7825399450132,1210.3560359554774,1209.719610634863,1200.576767753587,1198.098161343696,1197.1848562510088,1203.322535516789,1206.2603370797947,1206.2139326560903,1203.6254682117453,1203.298935990093,1210.3381554722994,1217.353768581855,1222.1298065835535,1223.3235586685062,1224.684645113816,1227.194036213634,1226.8749249671298,1229.1889490500696,1234.6961231170224,1250.192231410983,1268.7275728144705,1291.2281149366077,1317.540919255876,1345.396186907491,1368.771160340812,1380.627461006402,1385.25413366178,1390.9243122908383,1396.5231234796831,1405.458111678491,1415.9444419703693,1429.4955130130033,1446.5405130081288,1457.7551083420146,1471.7330249191828,1474.2778498423459,1474.6892580361618,1465.5432405298639,1462.513875119983,1461.9344719266921,1469.300284333925,1469.5704499279811,1475.6906015803042,1476.416334860088,1480.7699107778487,1478.6033857372736,1479.219035705059,1478.8713112179578,1476.0218742556087
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1228.296464804143,1236.8072720909709,1256.948231090248,1264.8428012661461,1274.8870269107845,1276.815307374425,1280.137017382708,1276.5340415237608,1271.901615454706,1270.5072937270193,1266.2949078797083,1263.1299699918304,1261.1126682539452,1275.6004542259957,1290.383279372192,1304.8266395263615,1310.920739900122,1315.6212775016327,1315.790443942071,1315.1195186903474,1309.063387959615,1300.8664334544992,1303.6871497746833,1303.4345454912486,1313.494512856421,1317.039776260052,1333.394939984849,1341.5174517539622,1346.5720679943609,1346.2598344736034,1347.3248998111299,1347.6779158813615,1347.2799588536943,1344.7670352067944,1343.1587798141961,1344.2015303414505,1348.281529631009,1357.6200175576728,1370.714241779347,1380.4561563022592,1388.0991785644153,1390.031834187352,1389.322439548092,1388.9304216012922,1387.6866530320929,1392.0746636180236,1396.0929372716616,1394.264044041074,1397.8593736783027,1403.9161026373283,1420.140988733591,1428.45782804331,1434.1943800929369,1440.3856496919511,1445.3611483529876,1446.5705700538444,1442.8168020529265,1442.5019818183193,1441.7215508583047,1445.1209671153601,1448.1516799375834,1456.083840819496,1463.9154757382723,1465.7786362833506,1464.9055435013981,1464.6131786470196,1467.0650185157372,1463.2838244830511,1457.638860431395,1453.264471474969,1453.2286710319354,1451.6256158607118,1451.7140756656634,1455.7134135566318,1466.014606102761,1482.2233372829687,1501.0170206042521,1516.6364443971556,1529.8290876893573,1541.9270576408385,1552.4274922374013,1559.9114823326397,1566.5067817734819,1576.6822745135175,1588.0512549035864,1596.502286908004,1605.4198913004532,1617.4537394143292,1632.6209131677892,1645.9055319891977,1652.8625983647257,1654.886398649483,1657.344898902586,1652.1924649995037,1652.7842978744538,1645.500911058797,1651.328875557168,1653.513808895485,1662.3109451647579,1669.1734937399754,1677.4626224175972,1681.4641592015787,1685.219903402949,1688.0004378313051,1693.991887103014
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,905.7872131996407,917.6556604424981,925.0448467252368,937.4774133999188,941.6211934727273,949.1855130216666,948.0405867345424,950.9410469840145,955.036905747174,957.5836249442688,961.1696490638192,960.9883978322496,968.3861613151415,973.0877396920711,982.7142750671195,993.0116566518105,1004.9787913590608,1012.4308715370588,1011.6141837678765,1009.6694292795015,1010.8698080473212,1012.8948582738842,1014.9727100318676,1014.7819603807305,1019.409719748247,1027.6979861671255,1040.0726014242996,1053.5695135965757,1066.4445914383743,1074.4863936899974,1077.5659474348458,1078.5208051039504,1079.552869311968,1085.0572728660736,1085.7749011167703,1086.902059407741,1087.1528961604697,1094.7234788362316,1107.833078052953,1121.2743568081492,1134.2653658355027,1142.7754683305875,1151.6481038039406,1157.2472967154793,1165.4774701330145,1171.933377362673,1177.4926093943825,1181.8723522228568,1183.7546949867976,1192.915909741579,1203.009903546892,1218.0601163818471,1229.9958806483344,1242.1546781402162,1251.419484282961,1257.7220223889046,1262.467383727401,1264.8916430095298,1270.8136481806494,1277.904937593413,1286.468048403329,1294.1745720979661,1300.5847726320712,1304.1954779494722,1305.4182764448071,1308.6985089771965,1318.3169702903754,1338.6455547948724,1352.4357249835066,1364.198112679897,1368.403172111348,1378.0762007832632,1387.5025023493422,1399.5847290137954,1420.6750577069608,1454.8586450935193,1499.4651634068462,1547.0684310261456,1595.8438204897873,1640.1043260967097,1674.9298711885294,1695.7063398893993,1709.509069791743,1719.5418771323327,1730.6625632058885,1739.5143873371774,1752.8877139965539,1766.2455369117306,1779.5787076281945,1789.672592933791,1796.4419064726771,1794.6356435434673,1789.2366458832512,1784.1785157242252,1779.846822170642,1776.7266837463974,1769.2949643949473,1769.9751806442357,1777.0989261546085,1788.3722487393186,1797.1752154150543,1797.6469616925885,1798.1101034234684,1793.803894359204,1791.4102287747357
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1011.5885383683105,1015.7976162190629,1020.9040722697088,1029.0107280592686,1036.1869648083764,1042.9274807506079,1047.7627454166034,1051.4181644498678,1054.8338771025094,1053.6534240975404,1053.5734345009287,1052.7248636997422,1056.1171128295202,1060.37248271115,1065.327695813905,1072.269027925372,1080.8790225996845,1092.955463840265,1098.8037852129132,1100.954437914197,1100.3306885216632,1100.421324473412,1100.472020623352,1099.1659400924968,1105.0431848023102,1113.122324515319,1124.0656010658524,1131.179758159374,1138.0370230845783,1145.940028310341,1153.9193586616716,1160.5316728293944,1163.866377657048,1164.719167021167,1166.99392072373,1170.8894901969968,1175.1011762961655,1183.3268070021413,1193.1967797700738,1208.246063598607,1219.691004800581,1228.1626732944405,1235.7798361112327,1242.3590200247238,1249.2890648210412,1251.3464629982448,1253.460585806593,1254.6259559313967,1259.6419967555178,1264.829027809494,1277.4512356661774,1288.2537673900822,1300.214718826671,1307.6427386549567,1315.2705093730901,1320.94829488399,1322.4618859152897,1322.567870357301,1322.3638478702926,1320.574571201841,1321.1844353803303,1327.5477372720445,1336.5034636013065,1332.274292249589,1326.9284313858693,1326.5087593935218,1343.709591245813,1360.9759040005881,1379.1904179313424,1393.0457739019423,1402.2956787280955,1408.0807730304846,1417.0302912564134,1429.9939103846452,1448.1164152349902,1473.5216466890292,1516.8824756742833,1571.6335062080225,1625.6367955069668,1677.385262794467,1714.2756476206744,1740.0292228620383,1744.0666921806364,1745.547349017776,1750.775954756465,1760.3353030758112,1770.0301786501536,1780.3520910343168,1794.9084898106908,1810.7276277841684,1824.903185185482,1817.7228579363994,1803.8188191125867,1774.621495981696,1758.465004901159,1742.970953143152,1743.176354224631,1744.7673877791915,1753.8762575201279,1760.622041504065,1771.6996095899822,1779.0408988517058,1785.4836591243622,1782.796409156017,1776.806098126328
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1793.6268522809426,1804.9122663101364,1817.632308108599,1819.5342592867382,1833.8147981552636,1841.667810464001,1861.6788403747214,1875.7765240318797,1885.4566827718972,1891.1271394070457,1890.2333286364365,1896.0894464042774,1902.1096437188633,1911.352761804643,1923.3351381425023,1930.8233620425053,1944.3396625853986,1961.4423792054538,1976.7859438296887,1981.6319692945435,1979.2440919621456,1985.2980494392234,1987.549394250693,1990.2993778583586,1995.0633972561122,2013.445203766191,2033.7975706990537,2051.7752689992176,2066.856769064229,2081.5564890451406,2098.49407062511,2107.0198615825807,2110.0677434877275,2106.066488192908,2107.8751659989775,2110.0018826945397,2120.61491613041,2133.6478518414615,2148.962497906707,2161.897315565726,2178.118505093071,2189.2385604180577,2202.8382307783763,2213.9009902200482,2222.3836176648138,2223.7173517592582,2213.595625491226,2220.057748772489,2222.624761360724,2232.248893471875,2235.3961121304415,2246.6082038025966,2258.680302149606,2272.0593170756038,2285.050320130204,2299.749403108353,2301.491517089699,2301.5222918730633,2297.1715621882327,2305.874564044848,2310.1251841906687,2317.6638234348793,2318.024016622536,2306.7781566307544,2296.1773629265836,2288.027846532211,2298.57195948079,2305.6741410789436,2317.29056311666,2331.6746824707457,2348.915948326911,2356.647965035729,2365.7978287814626,2374.8216995352627,2399.8131097093633,2434.4512533980164,2475.3899269233007,2523.647709208646,2577.6433348002324,2639.301933547836,2701.5264478974823,2740.4977185169855,2766.8556446635944,2781.1093144541724,2793.2230053789576,2822.903172573559,2859.592141947745,2914.9118649316233,2961.722692692084,3008.6991261888484,3048.5773945263313,3082.318329571569,3091.870685497862,3081.419281956767,3059.4185241293303,3041.0692794484135,3038.400705143792,3042.673932956058,3064.718599028835,3092.3413901434096,3132.215929478719,3166.1988055676006,3190.290036709746,3192.401107828436,3183.343950321507
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1081.549262821099,1084.252978215137,1093.3945662180633,1102.310251461617,1119.081568677279,1129.7622187016989,1141.003537620362,1141.5217997318896,1142.790176338842,1147.7418480254485,1156.9793184884895,1161.5516026310024,1161.210026379547,1162.897791763194,1167.7534554463894,1178.618402134858,1185.0079810595905,1196.8229445020231,1203.7806925251568,1207.2286766245486,1205.8254770078393,1201.6727637649965,1201.629732221599,1202.526388559186,1215.2915050898355,1224.300591018116,1243.1367602960656,1251.9176007617755,1265.3378821853812,1267.1728406065208,1270.5921637992687,1268.637197870222,1269.8980704995283,1265.4264722029898,1273.3818953699185,1275.0065145784467,1282.4740593851923,1290.8666744448792,1295.6098558483948,1298.68973512016,1298.6471819999517,1311.2385865061285,1317.2260273557267,1320.3985340685306,1313.0477312694784,1315.984107643761,1313.2080032140184,1316.1871993696273,1320.704010667307,1327.911098355969,1338.7321611963944,1344.4103647592838,1352.5014695084797,1364.6655248569382,1370.3743481191748,1375.1331237862216,1373.9273264911321,1371.9380992908973,1364.315270567095,1355.8984768786333,1358.9495683694984,1366.0863164853033,1374.011777476757,1372.9881198113023,1369.2415408903753,1365.8711157001542,1365.7013487757222,1367.817691289881,1371.6547264658645,1374.425254027468,1377.863270392892,1376.901960909854,1371.9963555924526,1372.4355746404747,1380.5980557467835,1405.0561090049034,1434.8021744851083,1467.9044941916243,1500.09236575072,1527.5738553952092,1553.1726064314516,1565.3362660793387,1574.8818668073543,1582.7718352592208,1597.8702662437217,1616.5433338042028,1624.1403850244806,1646.0507264178452,1669.6396878651115,1711.571600917168,1732.9220656586479,1741.7252788609187,1737.6403276617843,1723.3855926369768,1712.7889474838614,1698.9796035451798,1696.5258493255758,1696.0363539776088,1699.560984335731,1707.0217621749894,1716.8845133379464,1726.5626036100355,1730.8708577105772,1731.0063835531505,1729.0927586001926
