Borough,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09
Manhattan,$2895.00,$2800.00,$2750.00,$2800.00,$2800.00,$2797.50,$2858.00,$2895.00,$2995.00,$3050.00,$3000.00,$2995.00,$2995.00,$3000.00,$2950.00,$3000.00,$3000.00,$3100.00,$3100.00,$3200.00,$3260.00,$3300.00,$3277.50,$3299.00,$3300.00,$3200.00,$3212.50,$3197.50,$3200.00,$3200.00,$3250.00,$3300.00,$3300.00,$3350.00,$3372.50,$3300.00,$3247.50,$3250.00,$3212.50,$3200.00,$3250.00,$3192.50,$3199.00,$3250.00,$3275.00,$3275.00,$3225.00,$3237.50,$3265.00,$3212.50,$3262.50,$3295.00,$3360.00,$3275.00,$3325.00,$3340.00,$3295.00,$3275.00,$3280.50,$3341.50,$3290.00,$3300.00,$3300.00,$3350.00,$3395.00,$3450.00,$3442.50,$3495.00,$3525.00,$3450.00,$3497.50,$3495.00,$3412.50,$3420.00,$3425.00,$3450.00,$3475.00,$3414.00,$3461.00,$3400.00,$3450.00,$3397.50,$3349.00,$3345.00,$3297.00,$3311.50,$3250.00,$3349.00,$3371.50,$3375.00,$3350.00,$3373.00,$3350.00,$3340.00,$3250.00,$3300.00,$3323.50,$3285.00,$3250.00,$3285.00,$3422.50,$3428.00,$3420.00,$3400.00,$3395.00,$3392.00,$3350.00,$3407.50,$3395.00,$3350.00,$3395.00,$3450.00,$3537.50,$3597.50,$3594.00,$3563.00,$3600.00,$3600.00,$3647.00,$3604.50,$3600.00,$3595.50,$3500.00,$3475.00,$3333.50,$3200.00,$3148.00,$3000.00,$2925.00,$2898.00,$2850.00,$2822.00,$2850.00,$2850.00,$2850.00,$2945.00,$3000.00,$3125.00,$3387.50,$3495.00,$3550.00,$3675.00,$3800.00,$3928.00,$3995.00,$4000.00,$4153.00,$4243.50,$4275.00,$4237.50,$4350.00,$4292.50,$4375.00,$4271.00,$4243.00,$4324.00,$4325.00,$4345.00,$4375.00,$4449.00,$4431.00,$4412.50,$4466.50,$4472.50,$4500.00
Queens,$1587.50,$1483.00,$1547.50,$1550.00,$1450.00,$1456.50,$1463.00,$1550.00,$1563.00,$1600.00,$1600.00,$1470.00,$1525.00,$1537.50,$1500.00,$1556.50,$1575.00,$1550.00,$1575.00,$1550.00,$1584.00,$1550.00,$1600.00,$1650.00,$1700.00,$1758.00,$1779.00,$1663.00,$1731.50,$1762.50,$1812.50,$1850.00,$1700.00,$1875.00,$1897.50,$1912.50,$1700.00,$1799.00,$1725.00,$1697.50,$1700.00,$1800.00,$1799.00,$1840.00,$1875.00,$1800.00,$1725.00,$1775.00,$1795.00,$1775.00,$1800.00,$1816.50,$1750.00,$1812.50,$1765.00,$1900.00,$1856.50,$1837.50,$1850.00,$1800.00,$1837.50,$1850.00,$1837.50,$1850.00,$1925.00,$1906.50,$1950.00,$1900.00,$1897.50,$1950.00,$1850.00,$1906.50,$1877.50,$1863.00,$1887.50,$1975.00,$1974.00,$2000.00,$1999.00,$2000.00,$2000.00,$2000.00,$2000.00,$2025.00,$1995.00,$2037.00,$1987.50,$2000.00,$2000.00,$2150.00,$2100.00,$2000.00,$1995.00,$1997.00,$1981.50,$1992.00,$2000.00,$1950.00,$2000.00,$2025.00,$1985.00,$2050.00,$2081.50,$2072.50,$2000.00,$2000.00,$2000.00,$2000.00,$2000.00,$2000.00,$2012.00,$2000.00,$1999.00,$2050.00,$2100.00,$2050.00,$2100.00,$2070.00,$2050.00,$2000.00,$2000.00,$2100.00,$2137.50,$2100.00,$2036.50,$2000.00,$2052.50,$2000.00,$2000.00,$1978.00,$2000.00,$1995.00,$1925.00,$1950.00,$1937.50,$1950.00,$2000.00,$2022.50,$2000.00,$2050.00,$2100.00,$2100.00,$2100.00,$2064.00,$2150.00,$2174.50,$2200.00,$2290.00,$2300.00,$2400.00,$2350.00,$2405.50,$2400.00,$2400.00,$2399.00,$2400.00,$2375.00,$2499.00,$2488.00,$2450.00,$2500.00,$2500.00,$2499.50,$2600.00,$2603.00
Brooklyn,$2000.00,$1950.00,$2100.00,$2000.00,$2150.00,$2225.00,$2300.00,$2200.00,$2350.00,$2259.50,$2100.00,$1900.00,$2050.00,$1700.00,$1981.50,$2108.00,$2000.00,$1887.50,$1963.00,$2000.00,$2287.50,$2325.00,$2362.50,$2312.50,$2125.00,$2300.00,$2150.00,$2376.00,$2252.50,$2150.00,$2198.00,$2125.00,$2150.00,$2200.00,$2200.00,$2287.50,$2150.00,$2100.00,$2100.00,$2100.00,$2250.00,$2275.00,$2200.00,$2300.00,$2400.00,$2375.00,$2200.00,$2200.00,$2150.00,$2125.00,$2200.00,$2247.50,$2306.50,$2325.00,$2325.00,$2300.00,$2250.00,$2250.00,$2297.50,$2250.00,$2237.50,$2272.50,$2275.00,$2297.00,$2250.00,$2300.00,$2400.00,$2300.00,$2300.00,$2325.00,$2350.00,$2300.00,$2325.00,$2350.00,$2350.00,$2400.00,$2425.00,$2450.00,$2447.00,$2450.00,$2400.00,$2300.00,$2300.00,$2295.50,$2295.00,$2300.00,$2300.00,$2300.00,$2300.00,$2374.50,$2450.00,$2412.50,$2450.50,$2400.00,$2390.00,$2350.00,$2300.00,$2300.00,$2399.50,$2437.50,$2500.00,$2500.00,$2567.00,$2492.50,$2550.00,$2400.00,$2400.00,$2400.00,$2250.00,$2399.00,$2400.00,$2422.50,$2525.00,$2500.00,$2500.00,$2600.00,$2398.00,$2544.50,$2500.00,$2475.00,$2525.00,$2525.00,$2550.00,$2539.00,$2525.00,$2499.50,$2499.00,$2475.00,$2400.00,$2300.00,$2300.00,$2251.00,$2250.00,$2280.00,$2266.00,$2300.00,$2213.00,$2400.00,$2425.00,$2415.00,$2424.50,$2450.00,$2550.00,$2613.00,$2525.00,$2600.00,$2657.00,$2825.00,$2997.50,$2956.50,$3200.00,$3200.00,$3000.00,$3000.00,$2995.00,$2975.50,$3000.00,$3000.00,$3000.00,$3072.50,$3137.50,$3200.00,$3100.00,$3200.00,$3175.00
Bronx,$1392.00,$1396.50,$1404.00,$1440.50,$1600.00,$1500.00,$1864.50,$2062.50,$1900.00,$1500.00,$1800.00,$1550.00,$1547.50,$1550.00,$1600.00,$1400.00,$1299.00,$1350.00,$1563.00,$1500.00,$1243.50,$1243.00,$1243.00,$1274.50,$1400.00,$1550.00,$1500.00,$1500.00,$1475.00,$1400.00,$1487.00,$1437.50,$1350.00,$1500.00,$1369.00,$1449.50,$1400.00,$1400.00,$1347.50,$1450.00,$1500.00,$1500.00,$1490.00,$1527.50,$1425.00,$1250.00,$1388.00,$1450.00,$1474.50,$1319.00,$1350.00,$1400.00,$1550.00,$1614.50,$1400.00,$1400.00,$1400.00,$1400.00,$1400.00,$1362.50,$1350.00,$1400.00,$1400.00,$1400.00,$1450.00,$1475.00,$1431.50,$1500.00,$1499.00,$1525.00,$1494.00,$1494.00,$1574.00,$1500.00,$1450.00,$1491.50,$1498.00,$1562.50,$1615.50,$1600.00,$1611.50,$1582.00,$1547.00,$1549.50,$1510.00,$1612.50,$1700.00,$1675.00,$1680.00,$1650.00,$1650.00,$1700.00,$1700.00,$1700.00,$1716.50,$1613.00,$1691.50,$1718.00,$1737.50,$1800.00,$1800.00,$1819.00,$1785.00,$1800.00,$1800.00,$1898.00,$1750.00,$1790.00,$1806.00,$1794.00,$1800.00,$1775.00,$1800.00,$1850.00,$1874.00,$1862.50,$1899.00,$1849.50,$1884.00,$1872.50,$1838.00,$1874.50,$1900.00,$1939.00,$1860.00,$1875.00,$1900.00,$1794.00,$1777.00,$1835.00,$1849.00,$1725.00,$1812.00,$1748.00,$1829.00,$1825.00,$1889.50,$1850.00,$1901.00,$1900.00,$1888.00,$1925.00,$1995.00,$1896.00,$1800.00,$1825.00,$1895.00,$1887.50,$1950.00,$2100.00,$1995.00,$2200.00,$1977.00,$1950.00,$1950.00,$2051.50,$2100.00,$2180.00,$2181.00,$2197.50,$2150.00,$2349.50,$2284.50,$2262.50,$2299.50
Staten Island,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$nan,$1400.00,$1400.00,$1400.00,$1375.00,$1500.00,$1770.00,$2095.00,$1968.00,$1968.00,$2095.00,$1995.00,$1325.00,$1325.00,$1325.00,$1650.00,$2100.00,$1175.00,$1175.00,$1275.00,$1453.00,$1475.00,$1775.00,$1700.00,$1700.00,$1600.00,$1623.00,$1750.00,$1650.00,$1600.00,$1800.00,$1700.00,$1600.00,$1650.00,$1500.00,$1500.00,$1500.00,$1650.00,$1750.00,$1900.00,$1848.00,$1675.00,$1823.00,$1885.00,$1950.00,$1900.00,$1975.00,$2000.00,$2050.00,$2075.00,$2075.00,$2000.00,$2000.00,$1960.00,$1900.00,$1980.00,$1950.00,$1900.00,$1900.00,$1918.00,$2000.00,$2033.00,$1950.00,$1950.00,$1790.00,$1875.00,$1900.00,$1925.00,$1800.00,$1842.00,$1800.00,$1825.00,$1829.00,$1894.00,$1950.00,$2000.00,$2000.00,$1865.00,$1959.00,$1865.00,$1853.00,$1850.00,$1890.00,$1875.00,$2050.00,$2050.00,$2000.00,$2045.00,$2200.00,$2200.00,$2200.00,$2000.00,$1952.00,$1998.00,$2123.00,$1831.00,$1833.00,$1900.00,$1900.00,$1850.00,$1863.00,$1950.00,$1995.00,$2150.00,$1950.00,$1900.00,$1873.00,$2000.00,$1950.00,$1849.00,$1849.00,$2000.00,$2025.00,$2125.00,$2000.00,$2060.00,$2050.00,$1932.00,$1932.00,$1975.00,$1950.00,$1950.00,$2050.00,$2125.00,$2253.00,$2200.00,$2100.00,$2050.00,$2095.00,$2175.00,$2200.00,$2200.00,$2100.00,$2000.00,$1900.00,$2000.00,$2063.00
